"","Earning99","Unempl","Unempl2","Unempl3","BuyingPower","X.Progre","Enterpr","Lifex","Divorce","Abortion","Pop","Crime","Grow.","Migr","Pop65"
"Písek",11064,7.6,6.2,28.5101404,96,230.5,159,72.45,51.6320475,49.5,36.7,29.2464879,-2.57868737,-0.396612562,15.0924637
"Prachatice",10516,6,4.4,25.4785479,94,232.9,172,71.85,47.6190476,48.6,47.4,27.2202954,0.66959087,0.246487074,12.0574704
"Strakonice",11167,6.6,5,32.3311547,95,224.9,149,72.1,53.9393939,43.2,41.5,30.9245999,-3.11886433,-0.514160605,14.2259295
"Tábor",11556,5.6,4.3,21.6134454,98,234,158,73.2,48.7895717,44.3,27.9,28.2374153,-0.857242152,0.664169595,14.7953942
"Domažlice",11116,4.2,2.4,37.1695179,94,218.9,134,72.25,44.5378151,44.8,50.9,23.4626722,-0.529055234,0.967366366,13.3422419
"Cheb",10983,5.7,4.1,24.9046529,110,252.6,165,71.05,82.4324324,84,18.2,39.4635354,-0.168774447,-0.141405617,12.1111968
"Karlovy Vary",11361,8.2,14.8,38.9912359,112,247.5,174,71.25,51.3307985,60.3,20.5,41.8978506,0.293324425,0.862047893,13.2270962
"Klatovy",11011,6.2,4.1,32.7010889,97,228.1,160,72.15,46.6950959,54.1,45.8,30.1550247,-2.13392035,0.82549024,15.0502014
"Plzeò-mìsto",13535,7.3,6.1,36.0129112,108,258.6,179,72.95,57.4344023,66.9,0,46.1532046,-3.62688249,-1.32672308,14.804756
"Plzeò-jih",11304,4.8,5.8,25.5994815,97,216,139,72.4,43.989071,54.6,45.3,24.9312395,-0.0846865853,3.21511878,15.1943254
"Plzeò-sever",11015,5.7,8,30.8048104,93,215.5,141,72.4,55.6451613,53.7,52.3,24.6019665,0.643708646,2.4767588,13.6965683
"Rokycany",11544,7.9,16.5,38.0211228,97,228.3,151,72.3,54.8780488,48.3,40.9,29.3737825,-1.10129757,2.42721623,15.4842244
"Sokolov",11839,9.9,9.5,32.231405,93,232.3,132,70.4,60.9259259,65.8,18.8,33.0139006,2.39161667,-0.391912448,9.60938817
"Tachov",11356,8.5,4.8,37.9598662,93,222.9,141,70.9,68.9655172,66.5,40.9,35.9275613,2.68754153,0.789648567,10.26718
"Èeská Lípa",11956,6.7,5.3,29.3896209,95,236.5,152,71.2,62.6582278,63.3,21.1,48.2442864,3.82071375,1.89365378,10.3981778
"Dìèín",11078,13.6,11.5,45.4585733,96,245.3,144,70.5,68.4350133,61.2,17.3,35.287609,0.11509544,0.322117756,12.3295556
"Chomutov",11851,16.9,31.3,44.9136981,92,243.6,130,70.35,44.8854962,60.6,12.7,38.200617,1.17755216,-0.123910784,10.3996747
